id,No_voie,Code_type_de_voie,Type_de_voie,Code_voie,Voie,Code_postal,Surface_premier_lot,Surface_reelle_bati,Nombre_lots,Nombre_pieces_principales,Surface_terrain,Code_type_local,code_commune
1,190,0,RUE,5,CENTRALE,1370.0,"50,42",52,1,2,,2,1
2,347,0,RUE,20,DU CHATEAU,1170.0,"48,22",48,2,3,,2,2
3,58,1,AV,527,DU MONT BLANC,1220.0,"130,8",130,2,6,,2,3
4,140,0,RUE,2,DE L'ABBE JOLIVET,1630.0,"109,22",109,1,5,,1,4
5,39,0,RUE,110,BUFFON,1200.0,"108,65",91,2,4,,2,5
6,28,1,AV,179,JEAN FALCONNIER,1350.0,"31,65",32,1,2,,2,6
7,8,0,RUE,120,DE GENEVE,1630.0,"52,58",52,1,2,,2,7
8,2,0,RUE,210,DU RECULET,1630.0,"58,71",60,1,2,,2,8
9,1403,0,RUE,465,JEAN DE GINGINS,1220.0,"93,23",96,3,4,,1,9
10,226,2,ALL,36,DES CAPUCINES,1630.0,117,117,1,5,,1,10
11,276,3,RTE,210,DE POUGNY,1630.0,"35,6",36,1,2,,2,11
12,79,4,CRS,1490,DE VERDUN,1100.0,"138,03",137,2,5,,2,12
13,77,0,RUE,20,DU COMMERCE,1130.0,42,43,1,2,,2,13
14,240,0,RUE,650,DE PRE BAILLY,1170.0,"45,36",45,2,2,,2,14
15,3,0,RUE,541,TURENNE,1200.0,"82,6",84,2,4,,2,15
16,44,2,ALL,695,DU SQUARE DE LAUSANNE,1220.0,"88,11",88,1,4,,2,16
17,59,0,RUE,40,ALEXANDRE BERARD,1500.0,"164,87",143,1,6,,2,17
18,282,5,CHE,130,DES LONGES RAYES,1170.0,"42,2",42,2,2,,2,18
19,54,6,GR,45,GRANDE RUE,1150.0,"68,11",65,1,3,,2,19
20,1,0,RUE,160,DE GEX,1210.0,"82,59",75,1,3,,2,20
21,17,7,LOT,A036,LES JARDINS DE CHEVRY,1170.0,"30,23",30,1,1,,2,21
22,329,0,RUE,25,DES CARPIERES,1170.0,"24,8",25,1,1,,2,22
23,369,1,AV,55,CHARLES DE GAULLE,1150.0,"52,6",52,1,2,,2,23
24,154,0,RUE,33,SUR LA VIGNETTE,1130.0,"91,69",88,1,3,,2,24
25,6,0,RUE,745,DES USINIERS,1170.0,"45,54",45,1,1,,2,25
26,2,0,RUE,135,DU JURA,1630.0,"84,24",83,1,3,,2,26
27,54,0,RUE,455,MARCEL DEMIA,1500.0,"68,23",68,1,3,,2,27
28,269,5,CHE,191,DE CHARIGNIN,1300.0,"62,03",64,1,3,,2,28
29,322,0,RUE,37,DE BRETIGNY,1210.0,"112,93",109,1,4,,1,29
30,132,2,ALL,124,DES HETRES,1630.0,"131,91",133,1,4,,2,30
31,80,0,RUE,170,DE MEYRIN,1210.0,"63,58",63,3,3,,2,31
32,4,0,RUE,190,DE LA MAIRIE,1350.0,"35,86",50,1,3,,2,32
33,79,6,GR,182,GRANDE RUE DE BULLIEZ,1150.0,"70,09",74,2,3,,2,33
34,8,0,RUE,15,DE LA BIENNE,1590.0,200,121,1,4,,2,34
35,29,0,RUE,540,REINE CLOTILDE,1500.0,"54,84",62,2,2,,2,35
36,3,0,RUE,730,STE MARIE,1300.0,"72,75",73,2,4,,2,36
37,956,3,RTE,25,DE BOURG,1150.0,"94,09",88,1,2,,1,37
38,1,1,AV,20,DU BIJOU,1210.0,"71,08",71,2,3,,2,38
39,58,5,CHE,55,DE LA PLANCHE BRULEE,1210.0,"97,03",101,1,4,,1,39
40,211,0,RUE,16,CHANTEPIE,1280.0,"44,48",45,1,2,,2,40
41,25,0,RUE,53,DE LA ROCHE SAMUEL,1110.0,"64,21",63,1,2,,2,41
42,25,0,RUE,246,DE LA COMMUNE 1871,1500.0,"70,1",68,2,3,,1,42
43,6,8,,135,DE LA TOUR,1640.0,"76,7",90,1,4,,2,43
44,91,5,CHE,55,DE LA PLANCHE BRULEE,1210.0,"133,77",120,2,4,,2,44
45,3,0,RUE,270,DU DOCTEUR GREZEL,1130.0,"107,61",106,1,5,,2,45
46,28,0,RUE,70,DU DOC CHARCOT,1500.0,"42,78",43,1,2,,2,46
47,312,0,RUE,342,DES TERRASSES,1710.0,"124,55",120,1,5,,1,47
48,10,0,RUE,40,AMPERE,1100.0,"68,11",67,1,2,,2,48
49,1,0,RUE,95,GERARD DE NERVAL,1100.0,"70,78",68,2,3,,2,49
50,10,0,RUE,130,DES HAUTAINS,1630.0,"112,3",112,1,5,,2,50
51,102,9,MAIL,77,DU NEUTRINO,1280.0,"95,43",95,1,4,,1,51
52,84,0,RUE,170,DE MEYRIN,1210.0,"63,45",63,3,3,,2,52
53,115,0,RUE,410,MASONOD,1110.0,"77,3",75,2,4,,2,53
54,812,0,RUE,755,DES VERTES CAMPAGNES,1170.0,"164,18",160,1,6,,1,54
55,26,5,CHE,55,DE LA PLANCHE BRULEE,1210.0,"66,95",67,2,3,,2,55
56,2,0,RUE,45,DE CHAMP FUSY,1630.0,"30,62",31,2,1,,2,56
57,53,2,ALL,201,DES PRUNUS,1630.0,"165,92",166,1,5,,2,57
58,541,0,RUE,75,DES MONTS JURA,1410.0,"51,99",56,2,2,,2,58
59,386,5,CHE,752,DES SOUPIRS,1300.0,"63,17",63,2,3,,2,59
60,663,3,RTE,12,BLANCHE,1170.0,"84,97",88,2,3,,2,60
61,377,0,RUE,11,DES ABATTOIRS,1170.0,"88,7",87,1,4,,2,61
62,60,2,ALL,295,DES FRERES CAUDRON,1500.0,"50,64",51,1,2,,2,62
63,86,0,RUE,490,DE LA REPUBLIQUE,1200.0,38,39,1,1,,2,63
64,148,10,IMP,123,DU SAUGY,1210.0,"70,53",71,3,3,,2,64
65,77,7,LOT,A010,CLOS CHAMP VRILLARD,1170.0,"105,68",143,1,6,,1,65
66,27,11,RLE,240,DE L EGLISE,1170.0,"46,12",53,1,3,,2,66
67,5,12,PL,145,DE L EGLISE,1150.0,"37,63",39,2,2,,2,67
68,94,2,ALL,109,SIMON VAN DER MEER,1280.0,"87,38",89,1,4,,2,68
69,242,0,RUE,650,DE PRE BAILLY,1170.0,"50,33",50,2,2,,2,69
70,8,3,RTE,55,DE DIVONNE,1170.0,"134,17",136,1,4,,2,70
71,24,0,RUE,340,LAMARTINE,1200.0,"47,65",62,3,3,,2,71
72,88,0,RUE,275,DU PETIT CHAMP,1710.0,"99,13",102,1,4,,1,72
73,27,0,RUE,367,DES VERGERS,1710.0,"43,42",43,2,2,,2,73
74,250,0,RUE,54,DES FRENES,1580.0,"83,6",83,1,4,,1,74
75,13,0,RUE,398,JEAN MONNET,1500.0,"54,65",55,1,2,,2,75
76,2,0,RUE,161,DE LA BATISSE,1500.0,"81,15",81,2,3,,2,76
77,33,0,RUE,120,DE GENEVE,1630.0,"53,43",56,1,3,,2,77
78,30,0,RUE,175,DE VERSOIX,1210.0,"74,85",75,3,3,,2,78
79,322,0,RUE,37,DE BRETIGNY,1210.0,"90,33",90,1,4,,1,79
80,923,3,RTE,145,DE MURY,1170.0,"99,39",86,1,4,,1,80
81,77,0,RUE,82,LA PIECE,1170.0,"123,16",118,1,5,,1,81
82,103,9,MAIL,77,DU NEUTRINO,1280.0,"110,13",110,1,5,,1,82
83,33,9,MAIL,77,DU NEUTRINO,1280.0,"71,43",70,1,3,,2,83
84,75,0,RUE,367,DES VERGERS,1710.0,"56,02",56,1,3,,2,84
85,27,3,RTE,5,DE CESSY,1210.0,"85,12",85,2,4,,2,85
86,60,0,RUE,509,DE SAVOIE,1200.0,75,74,1,4,,2,86
87,90,0,RUE,490,DE LAUSANNE,1220.0,"135,68",133,3,4,,2,87
88,72,0,RUE,550,DE LA REPUBLIQUE,1500.0,"35,59",33,1,2,,2,88
89,198,3,RTE,560,DE VOUVRAY,1200.0,"62,38",63,1,3,,2,89
90,198,3,RTE,560,DE VOUVRAY,1200.0,"92,04",100,1,4,,2,90
91,786,1,AV,720,DES VOIRONS,1220.0,"46,05",46,1,2,,2,91
92,256,1,AV,41,DE BELLE FERME,1170.0,"34,56",34,1,2,,2,92
93,1143,0,RUE,30,CLAIRES FONTAINES,1150.0,"43,23",43,1,2,,2,93
94,40,0,RUE,88,VICTOR HUGO,1210.0,"83,82",80,1,4,,1,94
95,150,0,RUE,690,DE LA REPUBLIQUE,1300.0,"38,67",39,2,2,,2,95
96,14,0,RUE,310,CASTELLION,1100.0,88,92,1,3,,2,96
97,38,1,AV,85,DE VESSY,1210.0,"56,96",57,1,2,,2,97
98,256,1,AV,41,DE BELLE FERME,1170.0,"55,4",55,1,3,,2,98
99,36,0,RUE,100,DES APOTRES,1500.0,"74,72",79,1,2,,2,99
100,91,8,,46,GRAND' RUE,1550.0,"295,21",190,1,6,,2,100
101,88,0,RUE,165,DE LA PIERRE,1170.0,"222,97",170,1,3,,1,101
102,223,0,RUE,112,DES PRALETS,1210.0,"113,52",113,1,4,,2,102
103,232,0,RUE,50,DE LA ROCHETTE,1260.0,"127,2",127,2,4,,2,103
104,3,0,RUE,118,GEORGES CHARPAK,1630.0,"47,6",49,1,2,,2,104
105,9,0,RUE,60,DE LA FLAUDIERE,1640.0,"65,29",74,1,3,,2,105
106,392,3,RTE,560,DE VOUVRAY,1200.0,"81,24",83,1,4,,2,106
107,5186,8,,B102,MATAFELON,1580.0,"42,89",32,2,2,,2,107
108,8,0,RUE,227,GEORGES MARIN,1200.0,"69,66",69,1,3,,2,108
109,6066,0,RUE,18,DES BATTOIRS,1710.0,"69,65",69,2,3,,2,109
110,1,13,ESPA,326,CHARLES DE GAULLE,1100.0,"64,44",64,3,3,,2,110
111,54,0,RUE,32,ANTOINE JACQUET,1200.0,"88,83",88,1,4,,2,111
112,5208,8,,B013,LE BULOZ,1260.0,"35,3",35,2,3,,2,112
113,7,0,RUE,270,DU DOCTEUR GREZEL,1130.0,"45,5",40,3,2,,2,113
114,247,5,CHE,88,DE PRE DE PLANCHE,1280.0,"73,77",77,2,4,,1,114
115,120,5,CHE,155,DU MARTINET,1170.0,"67,94",67,2,3,,2,115
116,12,0,RUE,1040,DU MURET,1100.0,"22,2",30,1,1,,2,116
117,47,0,RUE,16,DU CHANE,1100.0,"48,38",48,1,2,,2,117
118,1,0,RUE,257,JOLIOT CURIE,1200.0,"56,65",56,1,2,,2,118
119,15,5,CHE,70,DU LAVOIR,1150.0,"32,27",32,2,2,,2,119
120,68,0,RUE,745,DES USINIERS,1170.0,"61,54",68,1,4,,2,120
121,5001,2,ALL,431,HONORE DE BALZAC,1300.0,"82,37",80,1,4,,1,121
122,9,0,RUE,172,DES FRERES SERPOLLET,1350.0,"53,81",53,1,3,,2,122
123,231,0,RUE,56,DE LA RABOUDIERE,1360.0,"71,8",71,1,3,,2,123
124,80,0,RUE,170,DE MEYRIN,1210.0,"63,54",63,3,3,,2,124
125,20,8,,190,HAMEAU DES CHENES,1710.0,"101,52",102,1,6,,1,125
126,47,5,CHE,325,DES ECOLIERS,1220.0,"51,7",42,2,2,,2,126
127,48,0,RUE,155,DE GENEVE,1210.0,"114,17",115,2,4,,2,127
128,40,10,IMP,100,DES PISTES,1410.0,"21,48",21,1,2,,2,128
129,4,10,IMP,171,DU PEGAN,1210.0,"36,21",36,1,1,,2,129
130,4,12,PL,68,DE L HOTEL DE VILLE,1640.0,"44,24",48,2,2,,2,130
131,76,0,RUE,805,COLONEL XAVIER RENDU,1200.0,"54,7",54,1,2,,2,131
132,18,1,AV,309,FRANCIS BLANCHARD,1170.0,51,54,1,2,,2,132
133,711,0,RUE,75,DES MORAINES,1170.0,"42,92",41,2,2,,2,133
134,120,5,CHE,155,DU MARTINET,1170.0,"68,08",67,2,3,,2,134
135,35,0,RUE,110,BUFFON,1200.0,"70,15",69,2,3,,2,135
136,20,0,RUE,440,PARMENTIER,1200.0,"57,23",56,1,2,,2,136
137,461,0,RUE,221,JEAN-JACQUES ROUSSEAU,1630.0,"132,16",131,1,5,,2,137
138,114,0,RUE,253,DU CONTE DES PERMISSIONS,1220.0,"58,62",63,1,2,,2,138
139,38,0,RUE,305,JOSEPH MARION,1200.0,"61,89",60,1,3,,2,139
140,242,0,RUE,755,DES VERTES CAMPAGNES,1170.0,"92,45",105,1,3,,2,140
141,44,0,RUE,315,PASTEUR,1150.0,"71,29",71,2,3,,2,141
142,34,0,RUE,75,DES ECOLES,1630.0,"138,05",101,1,5,,1,142
143,183,0,RUE,110,DU VIEUX BOURG,1170.0,"45,12",30,2,1,,2,143
144,54,0,RUE,120,ARISTIDE BRIAND,1500.0,"70,45",75,1,3,,2,144
145,99,0,RUE,15,DE L AMITIE,1300.0,"78,54",77,1,4,,2,145
146,16,0,RUE,130,DES HAUTAINS,1630.0,"52,58",58,1,2,,2,146
147,5245,8,,B032,LES MARS,1410.0,"30,98",22,2,2,,2,147
148,17,1,AV,10,DES ALPES,1210.0,"95,66",106,2,5,,2,148
149,35,0,RUE,155,DES PRELES,1630.0,"87,23",87,1,4,,2,149
150,78,1,AV,320,DU GEN SARRAIL,1500.0,"92,47",92,1,5,,2,150
151,22,0,RUE,63,DE L AVENIR,1200.0,"89,2",89,2,5,,2,151
152,7,0,RUE,541,TURENNE,1200.0,"28,8",40,2,1,,2,152
153,86,0,RUE,112,GUSTAVE EIFFEL,1100.0,"46,68",46,1,2,,2,153
154,16,1,AV,25,DU JURA,1210.0,"2,36",2,1,0,,2,154
155,6,0,RUE,227,GEORGES MARIN,1200.0,"68,92",68,1,3,,2,155
156,346,0,RUE,650,DE PRE BAILLY,1170.0,"68,45",68,2,3,,2,156
157,195,10,IMP,123,DU SAUGY,1210.0,"102,52",103,1,4,,1,157
158,6066,0,RUE,18,DES BATTOIRS,1710.0,"59,67",59,2,2,,2,158
159,348,0,RUE,650,DE PRE BAILLY,1170.0,"77,86",77,2,4,,2,159
160,72,5,CHE,31,DES COLLINES,1630.0,"105,12",106,3,4,,1,160
161,86,0,RUE,170,DE MEYRIN,1210.0,"63,27",63,3,3,,2,161
162,181,0,RUE,169,PARC JEAN MONNET,1630.0,"133,24",133,1,4,,2,162
163,28,5,CHE,567,DU PEUDEX,1220.0,"67,33",63,1,3,,2,163
164,62,5,CHE,294,DU PONT DE GREMAZ,1710.0,"68,69",65,2,3,,2,164
165,1,2,ALL,14,ALBERT CAMUS,1200.0,"58,3",59,1,2,,2,165
166,10,0,RUE,130,DES HAUTAINS,1630.0,"111,06",112,1,5,,2,166
167,13,12,PL,375,DES FOURS,1300.0,"117,63",117,1,5,,2,167
168,4,5,CHE,59,DU MARAIS,1280.0,"85,12",82,1,4,,2,168
169,67,3,RTE,85,DE GENEVE,1170.0,"42,01",42,1,2,,2,169
170,644,0,RUE,100,D ARBERE,1220.0,"96,46",96,1,5,,1,170
171,67,3,RTE,218,DE CHAVORNOD,1300.0,"57,5",58,3,3,,2,171
172,96,0,RUE,487,DU JURA,1220.0,"90,4",90,2,4,,2,172
173,282,5,CHE,130,DES LONGES RAYES,1170.0,"42,59",42,2,2,,2,173
174,152,6,GR,660,GRANDE RUE,1220.0,"50,11",35,1,1,,2,174
175,170,0,RUE,680,DES TERREAUX,1170.0,"32,6",33,1,2,,2,175
176,399,0,RUE,105,DU COTEILLON,1150.0,"103,62",88,1,4,,1,176
177,780,0,RUE,90,DE LA REPUBLIQUE,1550.0,"135,89",60,1,2,,2,177
178,53,2,ALL,201,DES PRUNUS,1630.0,"166,98",166,1,5,,2,178
179,71,5,CHE,100,DE LA PRALAY,1170.0,"58,13",65,1,2,,2,179
180,46,1,AV,560,DES NATIONS,1330.0,"38,67",39,1,2,,2,180
181,13,0,RUE,461,DE LAYE,1800.0,"120,5",110,1,5,,1,181
182,151,3,RTE,40,DE BELLEVILLE,1090.0,"86,8",90,1,3,,2,182
183,9,0,RUE,520,NEUVE,1120.0,"41,82",47,1,1,,2,183
184,768,0,RUE,160,EDOUARD HERRIOT,1480.0,"56,63",56,1,2,,2,184
185,172,0,RUE,75,HECTOR BERLIOZ,1480.0,"79,06",77,1,3,,2,185
186,2,0,RUE,510,DE LYON,1800.0,"65,82",65,1,3,,2,186
187,1172,3,RTE,186,DE GENEVE,1120.0,"38,43",44,1,3,,2,187
188,62,5,CHE,30,DU BONATIER,1390.0,"85,95",85,1,4,,2,188
189,40,14,MTE,140,DES CANNES,1800.0,"48,42",48,1,2,,2,189
190,12,0,RUE,925,LUCIEN QUITTELIER,2300.0,"80,87",82,1,4,,1,190
191,27,0,RUE,910,FERNAND THUILLART,2000.0,"165,11",156,4,6,,2,191
192,1,0,RUE,535,CONDORCET,2000.0,"71,5",72,1,4,,2,192
193,15,0,RUE,2278,DU REMPART SAINT REMY,2000.0,"82,54",82,1,3,,2,193
194,11,0,RUE,250,BONNOT,2000.0,"39,97",41,3,2,,2,194
195,2,0,RUE,301,MAZIN,2800.0,"146,68",158,1,4,,2,195
196,13,0,RUE,2040,PAUL DOUMER,2000.0,"31,6",40,1,2,,2,196
197,20,0,RUE,1070,DES OEUVRES DE CHINE,2300.0,92,80,1,4,213,1,197
198,13,0,RUE,2860,VINCHON,2000.0,"73,5",65,1,3,,2,198
199,15,0,RUE,400,DU CHANGE,2000.0,"23,82",30,2,1,,2,199
200,13,0,RUE,2040,PAUL DOUMER,2000.0,"37,3",40,1,2,,2,200
201,13,0,RUE,2040,PAUL DOUMER,2000.0,"49,1",53,1,2,,2,201
202,27,0,RUE,350,CARLIER HENNECART,2000.0,"30,94",31,1,1,,2,202
203,9001,0,RUE,1333,JEAN DE LA FONTAINE,2000.0,"65,66",67,1,3,,1,203
204,27,0,RUE,1334,JEAN RACINE,2000.0,"27,19",27,1,1,,2,204
205,10,12,PL,1700,DU MARCHE,2000.0,"46,92",53,1,2,,2,205
206,32,0,RUE,1590,DE LA LINOTTE,2000.0,"78,3",82,1,4,,1,206
207,1,0,RUE,535,CONDORCET,2000.0,"88,5",90,1,5,,2,207
208,1,11,RLE,1930,DES NEUFLIERS,2000.0,"24,05",27,1,1,,2,208
209,30,0,RUE,39,DE L EGLISE,2000.0,"92,54",92,1,4,,1,209
210,1,12,PL,190,BOUZIER,2300.0,"60,05",62,1,3,,2,210
211,1,0,RUE,535,CONDORCET,2000.0,89,90,1,5,,2,211
212,30,0,RUE,2620,SERURIER,2000.0,"23,86",27,1,1,,2,212
213,16,0,RUE,130,DE MONTEVIDEO,2410.0,25,64,1,3,,2,213
214,108,15,BD,2555,GAMBETTA,2700.0,"148,41",155,1,5,,2,214
215,32,0,RUE,1590,DE LA LINOTTE,2000.0,"47,44",48,1,2,,2,215
216,32,0,RUE,1590,DE LA LINOTTE,2000.0,"80,14",90,1,4,,1,216
217,32,0,RUE,1590,DE LA LINOTTE,2000.0,"53,42",53,1,3,,2,217
218,9003,0,RUE,78,ROBERT GODARD,2670.0,"66,36",67,1,3,,2,218
219,4,0,RUE,540,DE LA CONGREGATION,2000.0,"28,13",29,1,1,,2,219
220,21,0,RUE,45,AMPERE,2000.0,"88,14",119,1,4,,1,220
221,3,1,AV,360,CARNOT,2000.0,"77,91",76,1,3,,2,221
222,30,0,RUE,2620,SERURIER,2000.0,"26,4",27,1,1,,2,222
223,2,0,RUE,5210,DE LA SELLERIE,2100.0,"119,4",122,1,4,,2,223
224,1,0,RUE,2920,D ISLE,2100.0,"33,49",32,2,1,,2,224
225,23,0,RUE,2670,DU GOUVERNEMENT,2100.0,"96,4",127,1,4,,2,225
226,15,0,RUE,5500,VARLET,2100.0,"53,22",52,1,2,,2,226
227,2,12,PL,800,FERNAND MARQUIGNY,2200.0,"142,98",143,2,5,,2,227
228,36,0,RUE,110,DU MOULIN BOTTE,2200.0,"50,16",43,3,2,,2,228
229,12,0,RUE,1660,DES PAVEURS,2200.0,"108,49",127,1,4,,2,229
230,2,15,BD,1130,JEANNE D ARC,2200.0,"29,16",29,2,1,,2,230
231,2,0,RUE,1082,JEAN DELAPLACE,2200.0,"79,27",81,1,4,,1,231
232,1,0,RUE,2180,DE LA SURCHETTE,2200.0,"64,21",67,1,4,,2,232
233,18,0,RUE,1830,QUINQUET,2200.0,"121,9",122,2,5,,2,233
234,1,0,RUE,115,DU PONT DE LA TOURNELLE,2290.0,"145,28",145,1,4,,1,234
235,7,0,RUE,50,DE FONTENOY,2290.0,"49,99",49,1,3,,2,235
236,,8,,B054,LA FOSSE SALMON,2600.0,"58,67",58,1,2,,2,236
237,19,0,RUE,6,SAINT DENIS,2600.0,"55,74",50,1,3,,1,237
238,3,0,RUE,615,ROGER SALENGRO,2600.0,"77,56",77,2,5,,2,238
239,18,0,RUE,330,DU CHAMP BOUILLANT,2200.0,"49,33",48,2,2,,2,239
240,3,0,RUE,1910,DE LA RESISTANCE,2200.0,"47,02",36,3,3,,2,240
241,14,0,RUE,1760,PORTE CROUY,2200.0,"37,18",75,6,2,,2,241
242,2,16,CHT,A040,DE LA QUINCY,2880.0,106,109,3,6,,1,242
243,8,17,PTR,270,PETITE RUE SAINT VINCENT,2370.0,"39,62",64,3,3,,1,243
244,2,0,RUE,70,DE BAPAUME,2600.0,"81,62",81,1,4,,2,244
245,10,12,PL,1192,DE LAON,2200.0,"41,42",44,1,1,,2,245
246,1,0,RUE,950,DES GRAVIERS,2200.0,"62,15",83,1,3,,2,246
247,15,0,RUE,330,DU CHAMP BOUILLANT,2200.0,"59,81",59,2,4,,2,247
248,20,0,RUE,1490,NOTRE DAME,2200.0,"20,45",26,1,1,,2,248
249,17,0,RUE,20,ALEXANDRE DUMAS,2600.0,"89,56",86,1,3,,2,249
250,5,0,RUE,40,FERNAND BAZIN,2600.0,570,110,1,6,,1,250
251,5,12,PL,170,DU DOCTEUR MOUFLIER,2600.0,"21,4",21,1,1,,2,251
252,2,15,BD,760,EDOUARD BRANLY,2200.0,"49,46",57,1,2,,2,252
253,2,15,BD,760,EDOUARD BRANLY,2200.0,"45,12",44,1,2,,2,253
254,4,12,PL,1192,DE LAON,2200.0,"68,95",72,2,3,,2,254
255,16,0,RUE,360,D OULCHY LE CHATEAU,2200.0,"76,95",76,2,3,,2,255
256,12,1,AV,2210,THIERS,2200.0,"72,93",72,1,2,,2,256
257,4,0,RUE,1122,JEAN MOULIN,2200.0,"65,9",64,2,3,,2,257
258,3,0,RUE,1760,PORTE CROUY,2200.0,"31,84",32,1,2,,2,258
259,5,12,PL,170,DU DOCTEUR MOUFLIER,2600.0,"20,69",23,1,1,,2,259
260,30,1,AV,890,DU GENERAL DE GAULLE,2200.0,"29,36",33,1,1,,2,260
261,9,0,RUE,710,VICTOR HUGO,2600.0,"67,85",54,3,3,,2,261
262,41,0,RUE,302,DU GRAND MONTOIR,2600.0,"51,07",42,1,3,,2,262
263,7,0,RUE,1540,DE PANLEU,2200.0,"29,21",30,1,1,,2,263
264,30,1,AV,890,DU GENERAL DE GAULLE,2200.0,"23,7",25,1,1,,2,264
265,10,12,PL,1192,DE LAON,2200.0,"73,94",75,1,3,,2,265
266,5,0,RUE,40,FERNAND BAZIN,2600.0,"93,89",110,1,6,,1,266
267,2,15,BD,760,EDOUARD BRANLY,2200.0,"68,37",67,1,3,,2,267
268,2,15,BD,760,EDOUARD BRANLY,2200.0,"73,65",73,1,3,,2,268
269,22,15,BD,1130,JEANNE D ARC,2200.0,"31,62",32,2,1,,2,269
270,12,1,AV,814,DE LA MARE AUX CANES,2400.0,"60,2",60,2,3,,2,270
271,3,12,PL,640,DE L HOTEL DE VILLE,2400.0,"48,5",54,1,3,,2,271
272,50,6,GR,590,GRANDE RUE,2400.0,"57,74",58,2,3,,2,272
273,1,18,RES,A047,RENOIR,2400.0,"78,24",75,1,4,,2,273
274,2,0,RUE,160,PAUL CLAUDEL,2130.0,"64,24",64,1,3,,2,274
275,22,0,RUE,950,DE LA FRATERNITE,3000.0,"34,46",33,1,2,,2,275
276,2,0,RUE,720,DENAIN,3000.0,"124,01",77,3,3,,2,276
277,22,0,RUE,950,DE LA FRATERNITE,3000.0,"34,9",38,1,1,,2,277
278,22,0,RUE,950,DE LA FRATERNITE,3000.0,"22,19",22,1,1,,2,278
279,14,0,RUE,459,CHARLES PEGUY,3000.0,"83,87",84,2,4,,2,279
280,4,18,RES,A063,PARC MONTFAULT,3400.0,"107,77",112,1,5,,1,280
281,11,0,RUE,2170,DU VERT GALANT,3000.0,"61,4",60,2,4,,2,281
282,16,10,IMP,1320,DU PRE DE MOLLES,3400.0,"128,8",85,1,5,,1,282
283,84,3,RTE,990,DE LYON,3400.0,"58,46",59,2,3,,2,283
284,3,0,RUE,865,JACQUES VINCENT,3400.0,"40,06",40,2,2,,2,284
285,24,0,RUE,1010,GASPARD ROUX,3000.0,"78,3",79,2,4,,2,285
286,1,1,AV,815,DU DRAPEAU,3300.0,106,105,2,5,,2,286
287,71,0,RUE,1710,JEAN JAURES,3200.0,"74,54",80,1,3,,2,287
288,2,0,RUE,2160,MONTIGNAC,3200.0,"81,72",79,2,3,,2,288
289,2,0,RUE,2290,DU 11 NOVEMBRE,3200.0,"67,64",67,2,4,,2,289
290,10,0,RUE,1040,DUCHON,3200.0,"42,98",47,2,2,,2,290
291,4,0,RUE,1600,HUBERT COLOMBIER,3200.0,"40,57",45,3,2,,2,291
292,9003,12,PL,720,DE L HORLOGE,4200.0,"105,71",119,1,4,,2,292
293,7102,12,PL,88,DE L ENGIEN,4500.0,"106,43",133,3,4,,2,293
294,7003,18,RES,A009,LES MELEZES,4400.0,"29,74",31,1,1,,2,294
295,9500,19,TRA,182,DU CAMPING,4160.0,"65,4",66,1,3,,2,295
296,1,0,RUE,1090,DES MONGES,4000.0,"144,6",120,1,4,,2,296
297,7066,8,,B052,STATION DE SAINT JEAN,4140.0,"24,74",24,1,1,,2,297
298,9002,12,PL,440,DU DOCTEUR ROBERT,4200.0,"32,89",33,1,1,,2,298
299,7192,8,,B029,LA CHAPELLE,4260.0,"20,92",20,1,1,,2,299
300,,12,PL,9,DES AIRES,4120.0,"93,76",120,1,4,,2,300
301,7078,3,RTE,4,DE MAZAGRAND,4850.0,"20,73",20,1,1,,2,301
302,7037,8,,B091,LE VILLAGE,4340.0,"26,6",27,1,2,,2,302
303,6,0,RUE,24,GRANDE,4140.0,40,50,1,3,,2,303
304,7034,8,,B001,ADRECH DE CHAUVET,4260.0,"27,46",26,1,1,,2,304
305,25,1,AV,680,FRANCOIS CUZIN,4000.0,"51,42",51,1,2,,2,305
306,20,0,RUE,1670,DU VALLON DE FARINE,4000.0,"71,39",71,1,3,,1,306
307,7002,8,,B052,STATION DE SAINT JEAN,4140.0,"41,16",49,1,2,,2,307
308,7042,8,,B030,LE VILLAGE,4500.0,"65,5",32,1,2,,2,308
309,7398,8,,B138,PONT DE LABRAU OUEST,4260.0,"34,95",35,1,2,,2,309
310,24,7,LOT,A001,LOTISSEMENT DU BERARD,4400.0,"60,66",52,1,3,,2,310
311,7052,18,RES,A004,LES CHENEVRIERS,4400.0,"24,32",25,1,1,,2,311
312,12,5,CHE,50,DES ALPAGES,4400.0,"23,02",23,1,1,,2,312
313,25,0,RUE,1,PRINCIPALE,4850.0,"59,73",63,1,2,,2,313
314,7300,5,CHE,45,DES BEAUMES,4800.0,"33,05",33,1,2,,2,314
315,39,15,BD,1690,VICTOR HUGO,4000.0,"23,25",23,1,1,,2,315
316,9482,18,RES,A247,LE VALLON DES SOURCES,4000.0,"30,47",30,1,2,,2,316
317,32,15,BD,1690,VICTOR HUGO,4000.0,"28,33",29,1,1,,2,317
318,5081,8,,B073,LE SUPERSAUZE,4400.0,"35,97",44,1,1,,2,318
319,26,8,,B033,LE PONT,4800.0,"20,85",32,1,2,,1,319
320,7178,8,,B081,PONT DE LABRAU,4260.0,"20,55",21,1,1,,2,320
321,2,10,IMP,21,DE CARUPE,4200.0,"142,9",147,1,5,,2,321
322,7153,8,,B081,LES HAUTES PLAINES,4800.0,"18,44",18,1,1,,2,322
