id,No_voie,Code_type_de_voie,Type_de_voie,Code_voie,Voie,Code_postal,Surface_premier_lot,Surface_reelle_bati,Nombre_lots,Nombre_pieces_principales,Surface_terrain,Code_type_local,code_commune
1753,7,5,CHE,2900,DE SAINT LAURENT,6800.0,"58,42",58,1,3,,2,1753
1754,9001,41,MRN,A492,BAIE DES ANGES COMMODOR,6270.0,123,126,2,5,,2,1754
1755,9001,41,MRN,A492,BAIE DES ANGES COMMODOR,6270.0,"33,3",39,2,1,,2,1755
1756,251,1,AV,683,PAUL CEZANNE,6700.0,"55,52",55,1,2,,2,1756
1757,251,14,MTE,609,DU MOULIN,6700.0,"81,13",81,2,4,,1,1757
1758,377,3,RTE,233,DE LA COLLE,6270.0,"29,39",37,1,2,,2,1758
1759,44,1,AV,741,DES PLANTIERS,6700.0,"25,19",24,1,1,,2,1759
1760,90,15,BD,743,ERIC TABARLY,6270.0,"27,4",30,2,1,,2,1760
1761,9001,41,MRN,A493,BAIE DES ANGES DUCAL,6270.0,"18,8",20,1,1,,2,1761
1762,6,1,AV,670,DES CHENES,6800.0,"28,56",26,1,1,,2,1762
1763,3,1,AV,1091,DU DOMAINE DU LOUP,6800.0,"73,37",74,2,3,,2,1763
1764,721,1,AV,805,DES PUGETS,6700.0,"35,14",35,1,2,,2,1764
1765,26,5,CHE,3020,DE SAINTE COLOMBE,6800.0,"134,15",99,1,4,,1,1765
1766,718,1,AV,490,DU LOUBET,6270.0,"90,25",93,1,4,,1,1766
1767,79,1,AV,242,DOC MAURICE DONNAT,6700.0,"21,14",21,1,1,,2,1767
1768,2,1,AV,1405,GENERAL LECLERC,6800.0,"31,16",31,1,2,,2,1768
1769,395,1,AV,226,DE LA COLLINE,6270.0,"26,58",25,1,1,,2,1769
1770,23,0,RUE,920,DU SUCHET,6700.0,"50,1",42,1,3,,2,1770
1771,2,5,CHE,2981,DE SAINT VERAN,6800.0,"22,28",22,1,1,,2,1771
1772,30,5,CHE,2361,DU PAIN DE SUCRE,6800.0,"25,23",26,1,1,,2,1772
1773,549,5,CHE,830,DES RASCAS,6700.0,"29,45",32,1,1,,2,1773
1774,100,1,AV,216,DU CIREUIL,6270.0,"31,02",25,1,2,,2,1774
1775,341,1,AV,330,DES FILAGNES,6700.0,"63,66",75,1,3,,2,1775
1776,20,0,RUE,2625,DU PAISSOUBRAN,6800.0,"89,63",62,1,3,,2,1776
1777,450,1,AV,25,ANTONY FABRE,6270.0,"51,72",52,2,3,,2,1777
1778,8,4,CRS,2378,COURS DU ONZE NOVEMBRE,6800.0,"49,67",48,1,2,,2,1778
1779,48,1,AV,422,JACQUES-YVES COUSTEAU,6270.0,"36,32",36,1,2,,2,1779
1780,14,10,IMP,1020,DU DOC CALMETTE,6800.0,"20,4",21,1,1,,1,1780
1781,73,1,AV,1480,DE GRASSE,6800.0,"31,03",28,1,2,,2,1781
1782,2,12,PL,1402,GENERAL DE GAULLE,6800.0,"78,21",75,1,3,,2,1782
1783,70,2,ALL,245,DES LAVANDES,6570.0,"83,62",89,1,3,,2,1783
1784,524,1,AV,560,DE LA LIBERATION,6700.0,"76,25",61,2,3,,2,1784
1785,73,5,CHE,840,DES COLLETTES,6800.0,"100,01",110,3,3,,1,1785
1786,457,1,AV,320,DES FERRAYONNES,6270.0,"31,45",30,1,1,,2,1786
1787,1059,3,RTE,37,DE CAGNES,6480.0,"112,69",90,1,5,,2,1787
1788,8,4,CRS,2378,COURS DU ONZE NOVEMBRE,6800.0,"31,8",31,1,1,,2,1788
1789,91,1,AV,970,CYRILLE BESSET,6800.0,"30,25",31,2,1,,2,1789
1790,251,1,AV,683,PAUL CEZANNE,6700.0,"52,28",52,1,2,,2,1790
1791,491,5,CHE,830,DES RASCAS,6700.0,"63,05",64,1,3,,2,1791
1792,10,5,CHE,54,ALPHONSE DAUDET,6800.0,"130,09",132,1,5,542,1,1792
1793,9001,41,MRN,A493,BAIE DES ANGES DUCAL,6270.0,"18,5",20,1,1,,2,1793
1794,1092,3,RTE,120,DU BORD DE MER RN 98,6700.0,"65,31",76,1,3,,2,1794
1795,9001,41,MRN,A493,BAIE DES ANGES DUCAL,6270.0,"98,56",98,1,4,,2,1795
1796,159,15,BD,480,JEAN OSSOLA,6700.0,"55,01",53,1,2,,2,1796
1797,100,1,AV,216,DU CIREUIL,6270.0,"36,78",25,1,2,,2,1797
1798,650,1,AV,396,DU GAL DE GAULLE,6700.0,"64,52",51,1,2,,2,1798
1799,633,1,AV,741,DES PLANTIERS,6700.0,"46,6",47,1,2,,2,1799
1800,1,1,AV,1660,DE L HOTEL DE VILLE,6800.0,"21,29",20,1,1,,2,1800
1801,684,3,RTE,470,DES SERRES,6570.0,"122,85",121,1,4,,2,1801
1802,834,23,COR,325,FAHNESTOCK,6700.0,"23,03",24,1,1,,2,1802
1803,240,5,CHE,340,DE GAROUMIOU,6270.0,"108,22",98,1,5,,1,1803
1804,89,1,AV,970,CYRILLE BESSET,6800.0,"68,2",69,2,3,,2,1804
1805,377,1,AV,320,DES FERRAYONNES,6270.0,"76,51",73,1,4,,2,1805
1806,19,1,AV,554,LEONARD ANFOSSI,6700.0,"21,77",20,1,1,,2,1806
1807,9001,41,MRN,A494,BAIE DES ANGES GALLION,6270.0,"14,32",15,1,1,,2,1807
1808,12,0,RUE,2465,PASQUALINI,6800.0,"36,58",34,1,1,,2,1808
1809,9058,5,CHE,3300,DU VAL DE CAGNES,6800.0,"73,38",50,1,2,,1,1809
1810,3,10,IMP,2290,JEAN NEGRE,6800.0,"87,13",81,1,3,,2,1810
1811,272,1,AV,226,DE LA COLLINE,6270.0,"47,52",44,1,3,,1,1811
1812,270,3,RTE,306,DU PONT DE PIERRE,6480.0,"77,42",76,1,4,,2,1812
1813,42,1,AV,1480,DE GRASSE,6800.0,"51,58",52,1,2,,2,1813
1814,834,23,COR,325,FAHNESTOCK,6700.0,"31,35",32,1,2,,2,1814
1815,13,1,AV,2340,DES ORANGERS,6800.0,"42,65",43,2,2,,2,1815
1816,2,0,RUE,2251,DES MURIERS,6800.0,"34,21",35,2,1,,2,1816
1817,231,1,AV,473,JEAN AICARD,6700.0,"42,04",41,1,2,,2,1817
1818,21,22,PROM,2650,DE LA PLAGE,6800.0,"14,01",14,1,1,,2,1818
1819,5,0,RUE,743,DU PLATEAU CALLISTE,6700.0,"25,1",25,1,1,,2,1819
1820,6,1,AV,2300,DE NICE,6800.0,"74,76",81,2,3,,2,1820
1821,12,10,IMP,2385,DES PALOMBIERES,6800.0,"142,62",100,1,3,762,2,1821
1822,31,1,AV,970,CYRILLE BESSET,6800.0,"41,07",41,2,2,,2,1822
1823,79,1,AV,242,DOC MAURICE DONNAT,6700.0,"20,71",21,1,1,,2,1823
1824,861,1,AV,698,PIERRE SAUVAIGO,6700.0,"105,41",104,2,5,,2,1824
1825,290,1,AV,884,SAINT HUBERT,6700.0,"22,36",24,1,1,,2,1825
1826,323,1,AV,1005,DE VERDUN,6700.0,"54,02",42,1,2,,2,1826
1827,77,1,AV,1480,DE GRASSE,6800.0,"65,76",65,1,3,,2,1827
1828,85,1,AV,1480,DE GRASSE,6800.0,"25,53",25,1,1,,2,1828
1829,711,1,AV,698,PIERRE SAUVAIGO,6700.0,"42,05",42,1,2,,2,1829
1830,48,1,AV,422,JACQUES-YVES COUSTEAU,6270.0,"35,49",39,1,2,,2,1830
1831,9,0,RUE,2430,PARMENTIER,6800.0,"79,8",91,1,3,,2,1831
1832,9001,40,HAM,A202,DU SOLEIL GR EUCALYPTUS,6270.0,"58,6",63,2,3,,1,1832
1833,90,15,BD,743,ERIC TABARLY,6270.0,"27,32",30,2,1,,2,1833
1834,38,0,RUE,250,MAL FOCH,6480.0,"41,23",74,1,3,,2,1834
1835,9010,41,MRN,A491,BAIE DES ANGES BARONNET,6270.0,"23,98",24,1,1,,2,1835
1836,7,0,RUE,29,ALBERT CAMUS,6700.0,"73,76",80,1,3,,2,1836
1837,300,2,ALL,175,DES CIGALES,6700.0,"49,03",49,1,2,,2,1837
1838,11,5,CHE,2720,DES PRESSES,6800.0,"22,02",21,1,1,,2,1838
1839,3,2,ALL,163,DE LA CAGNES VAUGRENIER,6270.0,"71,18",71,1,3,,2,1839
1840,646,1,AV,741,DES PLANTIERS,6700.0,"69,52",70,1,3,,2,1840
1841,16,0,RUE,3165,SOUTINE,6800.0,"28,52",28,1,1,,2,1841
1842,14,1,AV,1075,DOC MAURICE DONAT,6800.0,"53,5",52,2,3,,2,1842
1843,589,3,RTE,125,DU BORD DE MER,6270.0,"25,03",25,1,1,,2,1843
1844,7,2,ALL,3495,VIVALDI,6800.0,"52,2",51,1,2,,2,1844
1845,7,5,CHE,1520,DES GROS BUAUX,6800.0,"75,4",78,1,4,85,1,1845
1846,244,1,AV,497,DU MARECHAL LECLERC,6270.0,"29,45",29,2,1,,2,1846
1847,148,10,IMP,335,FLEURIE,6700.0,"83,86",85,1,4,,1,1847
1848,4,0,RUE,288,BIRHAKEIM,6800.0,"29,57",32,1,1,,2,1848
1849,36,5,CHE,3255,DES TRAVAILS,6800.0,"127,71",86,1,3,,1,1849
1850,13,1,AV,433,MARECHAL JUIN,6270.0,"40,28",38,1,2,,2,1850
1851,227,1,AV,226,DE LA COLLINE,6270.0,36,25,1,1,,2,1851
1852,315,5,CHE,830,DES RASCAS,6700.0,"31,57",31,1,1,,2,1852
1853,430,1,AV,741,DES PLANTIERS,6700.0,85,85,1,4,,2,1853
1854,8,0,RUE,2465,PASQUALINI,6800.0,"67,01",70,2,3,,2,1854
1855,25,1,AV,1405,GENERAL LECLERC,6800.0,"33,25",32,1,1,,2,1855
1856,393,15,BD,750,DU POINT DU JOUR,6700.0,"50,79",52,1,2,,2,1856
1857,21,5,CHE,2800,DES ROSEAUX,6800.0,"145,15",115,1,5,,2,1857
1858,59,1,AV,471,DU LOGIS DE BONNEAU,6270.0,"34,65",34,1,2,,2,1858
1859,379,1,AV,50,MAX CHAMINADAS,6270.0,"27,11",28,1,2,,2,1859
1860,1,1,AV,3475,VICTORIA,6800.0,"79,47",91,1,4,,2,1860
1861,100,1,AV,216,DU CIREUIL,6270.0,"18,5",19,1,2,,2,1861
1862,9,1,AV,2861,SAINT EXUPERY,6800.0,"109,3",120,2,4,,2,1862
1863,9,2,ALL,1820,DES JONCS,6800.0,"73,53",80,2,3,,2,1863
1864,72,1,AV,3280,DES TUILIERES,6800.0,"22,52",24,1,1,,2,1864
1865,273,15,BD,198,HONORE TEISSEIRE,6480.0,"29,96",30,1,1,,2,1865
1866,541,15,BD,198,HONORE TEISSEIRE,6480.0,"68,46",68,1,3,,2,1866
1867,404,2,ALL,175,DES CIGALES,6700.0,"64,5",67,1,3,,2,1867
1868,81,1,AV,1480,DE GRASSE,6800.0,"57,02",57,1,3,,2,1868
1869,9320,12,PL,3040,SAINTE LUCE,6800.0,"83,32",84,1,4,,2,1869
1870,2,12,PL,774,DE VERDUN,6270.0,"32,83",35,2,2,,2,1870
1871,525,1,AV,84,BEL AIR,6270.0,"23,29",24,1,2,,2,1871
1872,18,1,AV,2340,DES ORANGERS,6800.0,"99,14",99,2,5,,2,1872
1873,58,1,AV,400,GENERAL LECLERC,6700.0,"92,4",93,2,4,,2,1873
1874,9010,41,MRN,A491,BAIE DES ANGES BARONNET,6270.0,"35,24",38,1,3,,2,1874
1875,102,1,AV,1480,DE GRASSE,6800.0,"87,17",87,2,4,,2,1875
1876,111,1,AV,805,DES PUGETS,6700.0,"40,42",40,1,2,,2,1876
1877,9100,5,CHE,130,DU BAOU,6270.0,"39,95",38,2,2,,2,1877
1878,189,1,AV,583,MARC MOSCHETTI,6700.0,"114,6",100,3,4,,2,1878
1879,113,2,ALL,175,DES CIGALES,6700.0,"84,6",85,2,4,,2,1879
1880,72,1,AV,3280,DES TUILIERES,6800.0,"27,61",28,2,1,,2,1880
1881,45,42,VAL,A940,D AZUR JARDINS CHARLOTTE,6270.0,"112,52",95,1,4,,1,1881
1882,41,3,RTE,125,DU BORD DE MER,6270.0,"20,34",20,1,1,,2,1882
1883,139,1,AV,242,DOC MAURICE DONNAT,6700.0,"28,19",29,1,1,,2,1883
1884,281,5,CHE,340,DE GAROUMIOU,6270.0,"82,3",93,1,4,,1,1884
1885,120,1,AV,352,FRANCE D OUTRE MER,6700.0,"29,43",30,1,1,,2,1885
1886,549,5,CHE,830,DES RASCAS,6700.0,"35,2",34,1,1,,2,1886
1887,3,22,PROM,2650,DE LA PLAGE,6800.0,"83,4",48,2,2,,2,1887
1888,41,0,RUE,80,ANATOLE FRANCE,6800.0,"46,55",45,1,1,,2,1888
1889,7,12,PL,3,DE L  EGLISE,7700.0,"59,1",61,1,3,,2,1889
1890,33,0,RUE,20,AUGUSTE CLEMENT,7600.0,"49,7",49,1,2,,2,1890
1891,9004,43,CITE,A040,DE LA SOUBEYRANNE,7700.0,"85,93",86,2,5,,2,1891
1892,9004,43,CITE,A040,DE LA SOUBEYRANNE,7700.0,"69,46",71,2,4,,2,1892
1893,193,3,RTE,84,DE MARVIGNES,7140.0,"28,27",40,1,3,,1,1893
1894,5638,18,RES,A007,HAMEAU LES FALAISES,7150.0,"28,52",29,1,2,,2,1894
1895,85,3,RTE,6820,DE VALS,7200.0,"59,05",62,1,3,,2,1895
1896,2,0,RUE,480,PIERRE DE COUBERTIN,7800.0,110,88,6,5,,2,1896
1897,13,1,AV,200,CLEMENT FAUGIER,7000.0,"61,78",65,2,3,,2,1897
1898,8,8,,A055,LES MELEZES,7800.0,"73,48",74,1,3,,1,1898
1899,3,0,RUE,5020,BAPTISTE MARCET,7200.0,"71,18",67,2,4,,2,1899
1900,5590,8,,B121,RAVEYRON,7150.0,"41,9",43,1,2,,2,1900
1901,172,3,RTE,65,NATIONALE,7200.0,"20,13",26,2,2,,2,1901
1902,17,15,BD,155,DES GARNEYRES,7600.0,"81,33",79,2,3,,2,1902
1903,2,15,BD,4220,GAMBETTA,7200.0,"52,8",47,1,2,,2,1903
1904,70,44,FG,5140,JEAN MATHON,7200.0,"35,73",111,4,4,,1,1904
1905,5651,0,RUE,6,DES BRASSERIES,7120.0,"90,9",90,1,3,,2,1905
1906,9,1,AV,96,PIERRE BROSSOLETTE,7700.0,"64,12",63,2,3,,2,1906
1907,9500,8,,B052,LA MAGDELAINE,7700.0,"58,85",58,2,3,,2,1907
1908,15,0,RUE,6960,DU CHATEAU VIEUX,7200.0,"43,9",43,1,3,,2,1908
1909,5114,8,,B066,LE VILLAGE,7200.0,"23,24",70,1,3,,1,1909
1910,1,1,AV,90,CLAUDE EXPILLY,7600.0,143,147,1,1,,2,1910
1911,17,4,CRS,670,DU PALAIS,7000.0,"35,12",36,1,2,,2,1911
1912,6,7,LOT,A020,LES LAVANDES ALLEE 1,7200.0,"99,57",99,1,5,,1,1912
1913,9001,43,CITE,A050,DE LA SOUTEYRANNE,7700.0,"83,09",83,2,5,,2,1913
1914,265,8,,A030,LA PASTOURELLE,7000.0,"78,16",77,2,4,,2,1914
1915,1,1,AV,90,CLAUDE EXPILLY,7600.0,"93,04",88,1,1,,2,1915
1916,10,1,AV,360,LOUIS ANTERIOU,7800.0,"36,36",33,2,2,,2,1916
1917,5809,8,,B004,BLOD,7800.0,"89,8",91,2,4,,2,1917
1918,75,0,RUE,92,GRANDE RUE,7220.0,"28,02",29,1,1,,2,1918
1919,9,1,AV,96,PIERRE BROSSOLETTE,7700.0,"74,4",71,2,4,,2,1919
1920,6032,8,,B085,RIPOTIER HAUT,7200.0,"33,01",33,1,2,,2,1920
1921,3,15,BD,330,DE VERNON,7600.0,"143,9",104,2,3,,2,1921
1922,23,2,ALL,4500,DE LA GUINGUETTE,7200.0,"88,79",88,3,4,,2,1922
1923,75,0,RUE,92,GRANDE RUE,7220.0,"54,23",60,1,2,,2,1923
1924,10,0,RUE,2520,DE BERNARDY,7200.0,"15,24",16,1,1,,2,1924
1925,75,0,RUE,92,GRANDE RUE,7220.0,"21,89",29,1,1,,2,1925
1926,5200,8,,B087,LES MAZES DE BEAUMEL,7150.0,"28,8",28,1,2,,1,1926
1927,59,8,,B053,GRAND CHAMPAGNE,7220.0,"54,67",58,1,3,84,1,1927
1928,185,1,AV,9,VICTOR BARRES,7000.0,"107,21",100,1,3,,2,1928
1929,9725,1,AV,838,SAINT EXUPERY,7000.0,"35,26",35,2,2,,2,1929
1930,52,0,RUE,190,JEAN JAURES,7600.0,"32,2",35,3,2,,2,1930
1931,5136,8,,B046,LE PETIT BLOD,7800.0,"74,57",81,2,4,,2,1931
1932,5517,8,,B013,LE GRAND CLOS,7700.0,"92,92",48,1,2,,2,1932
1933,1,0,RUE,250,DES CORDONNIERS,7000.0,"62,4",64,1,3,,2,1933
1934,3,0,RUE,222,DE FONT NEUVE,7800.0,"79,26",81,2,5,,2,1934
1935,3,0,RUE,222,DE FONT NEUVE,7800.0,"81,1",81,2,5,,2,1935
1936,1,12,PL,280,ST JEAN,7600.0,"39,07",38,1,2,,2,1936
1937,575,3,RTE,15,DE BARJAC,7150.0,"35,02",36,1,1,,2,1937
1938,9001,43,CITE,558,LA LAUPIE,7700.0,"80,74",75,1,4,,2,1938
1939,102,0,RUE,280,DU DOUX,7300.0,"69,24",75,1,3,,2,1939
1940,7,0,RUE,490,DE L ILE,7300.0,"50,9",51,1,2,,2,1940
1941,14,1,AV,330,VICTOR TASSINI,7130.0,"69,89",70,4,3,,2,1941
1942,20,1,AV,90,DOC MARC BOUVAT,7130.0,"55,74",53,3,3,,1,1942
1943,163,0,RUE,557,HECTOR GUIMARD,7500.0,"80,67",78,1,4,,1,1943
1944,16,0,RUE,1688,DU PILAT,7100.0,"45,53",45,2,2,,2,1944
1945,21,10,IMP,80,DES TISSERANDS,7370.0,"87,6",90,1,5,,2,1945
1946,16,0,RUE,520,LABATIE,7300.0,"54,51",50,1,2,,2,1946
1947,4,0,RUE,280,LOUIS BLERIOT,7500.0,"60,11",60,2,3,,2,1947
1948,2,12,PL,1,DE LA BASCULE,7340.0,"45,01",48,1,2,,2,1948
1949,7,5,CHE,880,DU REPOS,7300.0,"76,22",76,2,3,,2,1949
1950,58,5,CHE,1510,DE LA MUETTE,7100.0,"70,27",72,2,4,,2,1950
1951,9,39,VC,571,MONTEE DU CHATEAU,7100.0,"31,41",32,1,1,,2,1951
