id,Valeur_fonciere,date,id_local
159,294000,2020-05-06 00:00:00,159
160,620000,2020-05-11 00:00:00,160
161,230000,2020-05-12 00:00:00,161
162,469820,2020-05-15 00:00:00,162
163,371550,2020-05-29 00:00:00,163
164,315000,2020-05-12 00:00:00,164
165,82500,2020-05-20 00:00:00,165
166,439785,2020-05-12 00:00:00,166
167,65000,2020-05-18 00:00:00,167
168,469000,2020-05-15 00:00:00,168
169,161000,2020-05-18 00:00:00,169
170,513350,2020-05-19 00:00:00,170
171,83000,2020-06-02 00:00:00,171
172,471810,2020-06-02 00:00:00,172
173,220470,2020-06-11 00:00:00,173
174,243000,2020-06-04 00:00:00,174
175,100000,2020-06-04 00:00:00,175
176,193700,2020-05-29 00:00:00,176
177,100000,2020-06-04 00:00:00,177
178,595600,2020-06-17 00:00:00,178
179,225000,2020-06-26 00:00:00,179
180,106000,2020-01-14 00:00:00,180
181,203400,2020-01-10 00:00:00,181
182,212150,2020-01-07 00:00:00,182
183,102000,2020-01-03 00:00:00,183
184,150200,2020-01-16 00:00:00,184
185,129400,2020-01-13 00:00:00,185
186,130000,2020-04-06 00:00:00,186
187,84800,2020-05-15 00:00:00,187
188,282600,2020-05-20 00:00:00,188
189,145100,2020-05-22 00:00:00,189
190,87000,2020-01-16 00:00:00,190
191,142000,2020-01-03 00:00:00,191
192,66000,2020-01-15 00:00:00,192
193,71500,2020-01-22 00:00:00,193
194,68100,2020-01-10 00:00:00,194
195,58900,2020-01-24 00:00:00,195
196,37900,2020-02-17 00:00:00,196
197,70000,2020-02-14 00:00:00,197
198,112900,2020-02-21 00:00:00,198
199,39500,2020-02-21 00:00:00,199
200,39900,2020-02-24 00:00:00,200
201,78100,2020-02-19 00:00:00,201
202,37015,2020-02-06 00:00:00,202
203,93000,2020-03-12 00:00:00,203
204,35000,2020-04-09 00:00:00,204
205,42500,2020-04-06 00:00:00,205
206,88000,2020-04-09 00:00:00,206
207,80900,2020-05-06 00:00:00,207
208,34000,2020-05-04 00:00:00,208
209,84000,2020-05-18 00:00:00,209
210,90000,2020-05-11 00:00:00,210
211,81500,2020-05-26 00:00:00,211
212,27000,2020-05-26 00:00:00,212
213,20000,2020-05-26 00:00:00,213
214,137000,2020-05-29 00:00:00,214
215,44500,2020-05-30 00:00:00,215
216,75000,2020-06-05 00:00:00,216
217,44000,2020-05-22 00:00:00,217
218,32500,2020-06-25 00:00:00,218
219,35500,2020-06-23 00:00:00,219
220,365000,2020-06-24 00:00:00,220
221,55000,2020-06-24 00:00:00,221
222,29500,2020-06-30 00:00:00,222
223,370000,2020-01-15 00:00:00,223
224,41000,2020-02-07 00:00:00,224
225,107000,2020-03-06 00:00:00,225
226,68700,2020-06-19 00:00:00,226
227,290000,2020-01-10 00:00:00,227
228,57000,2020-02-04 00:00:00,228
229,274000,2020-01-31 00:00:00,229
230,39000,2020-02-06 00:00:00,230
231,102345,2020-02-18 00:00:00,231
232,63500,2020-02-07 00:00:00,232
233,181000,2020-02-04 00:00:00,233
234,125000,2020-02-13 00:00:00,234
235,59000,2020-02-13 00:00:00,235
236,63000,2020-02-17 00:00:00,236
237,90000,2020-02-05 00:00:00,237
238,110000,2020-01-31 00:00:00,238
239,81000,2020-02-12 00:00:00,239
240,67000,2020-02-19 00:00:00,240
241,30000,2020-02-18 00:00:00,241
242,79180,2020-02-03 00:00:00,242
243,55000,2020-03-03 00:00:00,243
244,97000,2020-02-14 00:00:00,244
245,44000,2020-03-10 00:00:00,245
246,82500,2020-03-10 00:00:00,246
247,230000,2020-03-02 00:00:00,247
248,13000,2020-02-27 00:00:00,248
249,103090,2020-04-20 00:00:00,249
250,95000,2020-04-23 00:00:00,250
251,36000,2020-05-15 00:00:00,251
252,100789,2020-03-10 00:00:00,252
253,76280,2020-03-02 00:00:00,253
254,65000,2020-05-06 00:00:00,254
255,151000,2020-05-29 00:00:00,255
256,134000,2020-05-14 00:00:00,256
257,56500,2020-05-25 00:00:00,257
258,47500,2020-06-05 00:00:00,258
259,44000,2020-06-04 00:00:00,259
260,41500,2020-05-16 00:00:00,260
261,95000,2020-05-27 00:00:00,261
262,87000,2020-05-28 00:00:00,262
263,53000,2020-06-10 00:00:00,263
264,36000,2020-06-30 00:00:00,264
265,70000,2020-06-05 00:00:00,265
266,169000,2020-06-18 00:00:00,266
267,148586,2020-06-09 00:00:00,267
268,140000,2020-06-10 00:00:00,268
269,45375,2020-06-25 00:00:00,269
270,55000,2020-01-24 00:00:00,270
271,290000,2020-02-07 00:00:00,271
272,110500,2020-03-11 00:00:00,272
273,67000,2020-06-10 00:00:00,273
274,43000,2020-06-08 00:00:00,274
275,111324,2020-01-21 00:00:00,275
276,164000,2020-01-03 00:00:00,276
277,131990,2020-01-07 00:00:00,277
278,74169,2020-01-15 00:00:00,278
279,106000,2020-01-16 00:00:00,279
280,135000,2020-03-16 00:00:00,280
281,59500,2020-02-28 00:00:00,281
282,108254,2020-03-17 00:00:00,282
283,45500,2020-05-06 00:00:00,283
284,55000,2020-05-19 00:00:00,284
285,41000,2020-06-18 00:00:00,285
286,172200,2020-05-16 00:00:00,286
287,100000,2020-05-25 00:00:00,287
288,96000,2020-05-15 00:00:00,288
289,153500,2020-05-25 00:00:00,289
290,"35722,61",2020-05-20 00:00:00,290
291,26500,2020-06-09 00:00:00,291
292,84000,2020-01-04 00:00:00,292
293,71000,2020-01-03 00:00:00,293
294,38550,2020-01-10 00:00:00,294
295,118500,2020-01-21 00:00:00,295
296,196000,2020-01-06 00:00:00,296
297,48000,2020-01-11 00:00:00,297
298,43000,2020-01-03 00:00:00,298
299,29800,2020-01-21 00:00:00,299
300,175000,2020-01-20 00:00:00,300
301,34000,2020-01-22 00:00:00,301
302,40000,2020-01-17 00:00:00,302
303,42000,2020-01-15 00:00:00,303
304,39735,2020-01-21 00:00:00,304
305,105000,2020-01-29 00:00:00,305
306,128690,2020-01-14 00:00:00,306
307,113330,2020-01-23 00:00:00,307
308,300000,2020-01-16 00:00:00,308
309,77000,2020-01-20 00:00:00,309
310,75000,2020-01-29 00:00:00,310
311,33880,2020-01-03 00:00:00,311
312,42800,2020-01-20 00:00:00,312
313,64000,2020-02-07 00:00:00,313
314,105375,2020-01-31 00:00:00,314
315,40000,2020-01-30 00:00:00,315
316,61000,2020-02-04 00:00:00,316
317,44585,2020-02-10 00:00:00,317
318,67830,2020-01-24 00:00:00,318
319,71000,2020-01-23 00:00:00,319
320,43000,2020-02-07 00:00:00,320
321,75000,2020-02-05 00:00:00,321
322,113000,2020-01-31 00:00:00,322
323,52800,2020-02-13 00:00:00,323
324,57000,2020-02-14 00:00:00,324
325,37000,2020-02-14 00:00:00,325
326,51000,2020-01-27 00:00:00,326
327,115000,2020-02-04 00:00:00,327
328,160500,2020-01-31 00:00:00,328
329,62500,2020-02-07 00:00:00,329
330,52500,2020-02-14 00:00:00,330
331,"66450,35",2020-01-30 00:00:00,331
332,47000,2020-01-31 00:00:00,332
333,150500,2020-02-12 00:00:00,333
334,201500,2020-02-12 00:00:00,334
335,24000,2020-01-27 00:00:00,335
336,270200,2020-02-21 00:00:00,336
337,"128014,89",2020-01-29 00:00:00,337
338,90000,2020-02-13 00:00:00,338
339,68730,2020-02-25 00:00:00,339
340,19000,2020-02-17 00:00:00,340
341,44000,2020-02-22 00:00:00,341
342,37000,2020-02-04 00:00:00,342
343,67500,2020-02-08 00:00:00,343
344,76600,2020-02-13 00:00:00,344
345,52300,2020-02-06 00:00:00,345
346,40000,2020-02-19 00:00:00,346
347,80000,2020-02-11 00:00:00,347
348,62000,2020-02-12 00:00:00,348
349,146200,2020-02-21 00:00:00,349
350,61500,2020-02-14 00:00:00,350
351,88000,2020-02-07 00:00:00,351
352,77000,2020-02-26 00:00:00,352
353,63500,2020-02-29 00:00:00,353
354,58000,2020-02-25 00:00:00,354
355,230000,2020-02-26 00:00:00,355
356,135700,2020-02-24 00:00:00,356
357,76000,2020-02-27 00:00:00,357
358,61400,2020-02-14 00:00:00,358
359,44000,2020-02-27 00:00:00,359
360,69300,2020-02-17 00:00:00,360
361,41500,2020-02-14 00:00:00,361
362,230000,2020-02-21 00:00:00,362
363,220000,2020-02-21 00:00:00,363
364,67560,2020-02-26 00:00:00,364
365,39980,2020-02-22 00:00:00,365
